Gravity Rank,Marketplace Rank,Vendor Code,Title,Category,Gravity,CVR,EPC,Avg Payout ($),Initial Payout ($),Rebill Payout ($),Sales Page URL,Affiliate Tools / JV Page,Contact Email,Contact Telegram,Badges,Description
1,1,"YUSLEEP","YU SLEEP - The #1 Sleep Offer! Make upto $5 EPC & Get Rich This Summer","Health & Fitness / Sleep and Dreams",132.3,"0.36%","$0.52",141.53,141.17,0.37,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=YUSLEEP","http://getyusleep.com/aff","amanda.slimcrystalteas@gmail.com","","Approval Required, Direct Tracking Available","HUGE Commissions & Sweet dreams for our clients!! Launched by Diamond Elite Vendor, our NEW VSL converts at 3% on cold traffic and affs get up to $5 EPC consistently. Get your affiliate links at https://getyusleep.com/aff & start making big money today!"
2,2,"ENREV","NEW : Energy Revolution System - Conversions Monster !","Green Products / Alternative Energy",128.5,"1.76%","$0.90",50.6,50.6,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=ENREV","https://epcworkshop.com/cb/new/home.html","epcworkshop20@gmail.com","https://t.me/mgabriel29","Direct Tracking Available","Brand new offer with an ultra optimized upsell funnel and low refund rates. Unparalleled EPCs and conversion rates. Commission Bumps Available! Crushes on Facebook, Youtube, TikTok & Native, scaling at warp speed. Get your links now !!!"
3,6,"BRAINSONGX","The Brain Song (Killer NEW Memory Offer)","Health & Fitness / General",105.8,"0.68%","$0.36",52.44,52.44,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=BRAINSONGX","https://forbrainsong.com/Affiliates/","affiliates@binauraltechnologies.com","","CPA Available","Sick EPC's on YT, FB, TT. Over 80K customers already. Insane AOV's. We are giving out CPA's to aff's that make them go ""HOLY COW"". Go HERE to get your link: https://forbrainsong.com/Affiliates/"
4,3,"FEMICORE","FemiCore - $4 EPC Doctor-Endorsed Bladder-Reset Formula","Health & Fitness / Women's Health",96,"0.39%","$0.81",212.74,212.74,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=FEMICORE","https://getfemicore.com/help/affiliates.php","affiliates@femicore-product.com","","Approval Required","FemiCore is endorsed by a well-reputed doctor with a strong social media following of tens of thousands of women."
5,14,"UMAKEBREAD","The Last Wish - Hottest New Manifestation Offer $500k in Ad Testing","Spirituality, New Age & Alternative Beliefs / General",95.8,"0.25%","$0.13",49.78,49.78,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=UMAKEBREAD","https://www.soul-mountain.com/affiliates","affiliates@soul-mountain.com","","Direct Tracking Available","High converting new offer, PROVEN on cold traffic ( $500k in ad spend | 80% payouts after first sale | $190 AOVs) Get your link now: https://www.soul-mountain.com/affiliates"
6,8,"WATERSB","New Water Offer: SmartWaterBox -10%+ New VSL Killing It!!!","Self-Help / Survival",90.7,"1.62%","$0.76",48.3,48.3,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=WATERSB","https://watersmartbox.com/affiliate/","support@watersmartbox.com","https://t.me/cataoq","Direct Tracking Available, CPA Available","High Converting Survival Water Product! This Is The Winning Offer You Were Looking For With Huge EPC! It Works On Energy/solar, Home/garden/woodworking And Prepper/survival Lists As Well. Great Results On Native/Facebook Traffic!"
7,16,"GENIUSBR","The Genius Song (BRAND-NEW!)","Spirituality, New Age & Alternative Beliefs / General",89.8,"0.28%","$0.14",48.19,48.19,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=GENIUSBR","https://geniussongoriginal.com/Affiliates/","affiliates@binauraltechnologies.com","","Direct Tracking Available","Hyper-conversions, BIG-TIME EPC's, Neuroscientist-endorsed product. Go HERE to get your link: https://gogeniuswave.com/Affiliates/ NEW OFFER: From the 8-figure VSL team behind The Genius Wave. Test your traffic and watch the big EPC's roll in."
8,5,"PRODENTIM","ProDentim - The Biggest Monster In The Dental Niche","Health & Fitness / Dental Health",84.9,"0.53%","$0.89",163.57,163.57,0,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=PRODENTIM","https://myprodentim101.com/help/affiliates.php","affiliates@prodentim-product.com","","CPA Available","Doctor Endorsed & Unique Formula With This Probiotic Soft Candy. The newly refreshed version is climbing full speed! Crushing it across all platforms: Native/Email/Fb. Limited Slots Available. Get on board quickly!"
9,10,"THEGENIUSX","The Genius Switch","Spirituality, New Age & Alternative Beliefs / General",79.8,"5.18%","$2.53",46.77,46.77,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=THEGENIUSX","https://geniusswitchofficial.com/Affiliates/","affiliates@binauraltechnologies.com","","","New high-converting BEAST of a VSL. The EPC's will make you smile. Go HERE to get your link: https://geniusswitchofficial.com/Affiliates/. From the team behind Genius Wave, this offer takes it to a WHOLE NEW LEVEL. Test your traffic now and see."
10,22,"TEDSPLANS","TedsWoodworking - Highest Converting Woodworking Site On The Internet!","Home & Garden / Crafts & Hobbies",76.7,"0.24%","$0.13",60.16,60.16,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=TEDSPLANS","https://tedswoodworking.com/aff","","","Direct Tracking Available","Top seller in CB for more than a decade! Evergreen niche with a HUGE market. Get $125/sale with a highly optimized funnel for 11% conversions + 75% comm on front & upsells. Crushes on FB and media buys with insane EPC on DIY, Survival, Conservative lists."
11,18,"ASTROLAN","Year of the Horse 2026 - Your Astrology Language Reading","Spirituality, New Age & Alternative Beliefs / Astrology",76.3,"0.58%","$0.22",38.47,38.47,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=ASTROLAN","https://start.yourastrologylanguage.net/contest/","affiliates@yourastrologylanguage.com","","","HOT Top Converting Astrology For the New Year with HIGH AOVs. Proven to CRUSH Cold & Email Traffic!"
12,4,"WATERFS","Water Freedom System: The 2026 Water Converter Breakthrough","Self-Help / Survival",75.3,"2.09%","$1.07",51.6,51.6,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=WATERFS","https://epcworkshop.com/cb/new/home.html","epcworkshop20@gmail.com","https://t.me/mgabriel29","Direct Tracking Available","Fresh VSL. Untapped Evergreen Niche. Monster Converter. Ultra-Optimized Upsell Funnel. Get Up to 90% Commissions on Front-End & Back-End Sales — Crushing Meta, YouTube, TikTok & Native With Insane EPCs Across Survival, Green Living, and More."
